"Column0","ÝLAN ADI","MAHALLE","FÝYAT","NET(m²)","BRÜT(m²)","ODA-SALON SAYISI","ODA SAYISI","SALON SAYISI","BANYO SAYISI","FOTOÐRAF SAYISI","BÝNA KAT SAYISI","BULUNDUÐU KAT","YAPI DURUMU","ISITMA","BÝNA YAÞI","AÝDAT","KÝRA GETÝRÝSÝ","Metrekare Baþýna Fiyat"
35,"Feneryolu Baðdat Caddesi 3. Bina Masrafsýz 4+1 Balkonlu","Feneryolu",6.841984804590113,145,180,"4+1",4,1,2,25,"4","2","Ýkinci El","Kombi (Doðalgaz)","36-40 ",0,0,0.04718610210062147
36,"Feneryolu Baðdat Caddesi 2. Bina Geniþ Balkonlu 3+1","Feneryolu",6.698970004336019,102,135,"3+1",3,1,1,22,"7","5","Ýkinci El","Merkezi Sistem","31-35 ",0,0,0.06567617651309822
37,"KOZYATAÐI NDA GENÝÞ KAPALI BALKONLU EBEVEYN BANYOLU SIFIR 3+1 DA","Kozyataðý",6.75966784468963,95,120,"3+1",3,1,2,12,"10","2","Sýfýr","Merkezi Sistem","0",,,0.071154398365154
38,"C.BOSTAN SAHÝLDE SIFIR 390M2 DENÝZ MANZARALI ÝSKANLI DUBLEKS","Caddebostan",7.389166084364533,292,390,"5+2",5,2,4,18,"10-20 ","11","Sýfýr","Kombi (Doðalgaz)","0",,,0.02530536330261826
39,"DÝNAMÝK'TEN BAÐDAT'A YAKIN 120 NET HARÝKA MUTFAKLI* ARA KAT 3+1","Göztepe",6.9063350418050895,120,160,"3+1",3,1,2,16,"6","4","Ýkinci El","Kombi (Doðalgaz)","11-15 ",0,19,0.05755279201504241
40,"GÖZTEPE TÜTÜNCÜ MEHMET EFENDÝ CADDESÝNDE 3+1 FUL YENÝLENMÝÞ LÜX","Göztepe",6.8356905714924245,120,150,"3+1",3,1,1,24,"6","2","Ýkinci El","Merkezi Sistem","31-35 ",0,0,0.05696408809577021
41,"CEMÝL TOPUZLU CADDESÝ ÜZERÝNDE DENÝZ MANZARALI ÞIK DAÝRE","Caddebostan",7.1760912590556805,100,130,"3+1",3,1,2,31,"8","5",,"Yerden Isýtma","6-10 ",,,0.07176091259055681
42,"SATILIK  SUADÝYEDE MÝNÜBÜS ALTINDA SIFIR 2+1 ARAKAT ÖN CEPHE","19 Mayýs",6.785329835010766,90,100,"2+1",2,1,2,19,"9","7","Sýfýr","Merkezi Sistem","0",150,20,0.07539255372234185
43,"GÖZTEPE SATILIK SIFIR ARAKAT 3+1 GÜNEY CEPHE  BALKONLU  FIRSATT!","Göztepe",6.892094602690479,95,120,"3+1",3,1,2,16,"10-20 ","4",,"Merkezi Sistem","0",,250,0.07254836423884715
44,"DÝNAMÝK'TEN  FENERYOLUN'DA DENÝZ  MANZARALI 2+1 SATILIK DAÝRE","Feneryolu",6.720159303405956,80,105,"2+1",2,1,1,16,"10-20 ","12","Sýfýr","Merkezi Sistem","2",0,0,0.08400199129257445
45,"KADIKÖY CAFERAÐA'DA SATILIK 2+1 DAÝRE","Caferaða",6.439332693830262,90,110,"2+1",2,1,1,16,"5","Bodrum Kat",,"Kombi (Doðalgaz)","21-25 ",0,0,0.07154814104255847
